date	tweets
20150622	"| RT @indembcairo: #yoga breaks borders and barriers #YogaDay #EGYPT @IndianDiplomacy http://t.co/dM14RLDTIg| RT @IndianDiplomacy: Yoga experts who guided the 600-strong participants at the International #YogaDay event at Summer Place, Johannesburg …| RT @IndianDiplomacy: Beautiful pictures from Serbia on the first International Day of Yoga.
#YogaDay #IndiaSerbia http://t.co/x0Ii3hjkUB| RT @eoiberlin: #InternationalDayofYoga in #Berlin at the landmark Brandenburg Gate. #YogaDay #IDY @IndianDiplomacy @narendramodi http://t.c…| RT @IndiaEmbBogota: Inicia el #DiaInternacionalDelYoga #YogaDay #YogaDayCol #Bogota @narendramodi http://t.co/UhFDAgFU0m| RT @cgisaopaulo: A moment of calm and peace in the hustle and bustle of São Paulo Brazil #idayofyoga #yogaday http://t.co/BN8b2jNZJy| RT @dilmabr: O Brasil apoiou a Resolução da #ONU c/ a confiança de q a ioga contribui p/ a saúde e o bem estar de um número crescente de pe…| RT @dilmabr: Cada vez + brasileiros praticam ioga no seu dia a dia, o q traz  + harmonia, + equilíbrio e uma interação + forte entre nossos…| RT @dilmabr: Cumprimento o primeiro-ministro indiano @narendramodi pelo Dia Internacional da Ioga, q passa a ser celebrado no dia 21 de jun…| Thank you President Rousseff for the kind words on Yoga &amp; #YogaDay. The spirit with which Brazil joined Yoga Day is appreciable. @dilmabr| We must take forward the enthusiasm seen during #YogaDay &amp; inspire people to make Yoga a key part of their daily lives. @dilmabr| The attack on the Afghanistan Parliament is a despicable &amp; cowardly act. There is no place for such attacks in a democracy.| My prayers are with those injured. We stand shoulder to shoulder with the people of Afghanistan in this hour.| RT @brownbarrie: Honoured to participate in @narendramodi 's inaugural International Yoga Day in #Mississauga. #ForOntarioForYou http://t.c…| @brownbarrie Great! Your efforts will go a long may in making Yoga popular among people. #YogaDay| RT @tsheringtobgay: Feeling relaxed after taking part in the mega yoga event organized to mark International Yoga Day by the Indian Embassy| @tsheringtobgay Thanks for the support Prime Minister. Your participation will inspire several people in Bhutan to practice Yoga regularly.| RT @KarzaiH: My message on first #InternationalDayofYoga @narendramodi @RashtrapatiBhvn @SenseandC_sense @IndianEmbKabul http://t.co/JZa3ab…| @KarzaiH  Thank you for the touching message &amp; your good wishes for #YogaDay. I agree when you say people will greatly benefit from Yoga.| RT @UN: 170,000+ tweets for 1st-ever #YogaDay! Thanks for all the posts. See some highlights here: http://t.co/2bzIRppPBm http://t.co/LoUgB…| Met top officials from Soft Bank Corporation, Bharti Enterprises &amp; Japan Bank for International Cooperation. http://t.co/mejCtWQ7uX| Am sure you will enjoy reading about highlights of #YogaDay celebrations across the world. http://t.co/3ZFOjr4jSV| At the meeting on Sarva Shiksha Abhiyan, called for identifying &amp; embracing key best practices in education that can benefit youngsters.| I also emphasised on greater synergy between Digital India initiative &amp; programmes related to Sarva Shiksha Abhiyan. http://t.co/b1MGLIuXQT"
20150623	"| On their National Day, my greetings to the people of Luxembourg. I am confident our ties will get even stronger in the years to come.| ______ ______ __ ___________ @virbhadrasingh __ __ _______ __ ____ ___________ _| Sister Nirmala's life was devoted to service, caring for the poor &amp; underprivileged. Saddened by her demise. May her soul rest in peace.| My deepest condolences to the Missionaries of Charity family on the passing away of Sister Nirmala.| I bow to Dr. Syama Prasad Mookerjee on his Nirvan Diwas. A great statesman, thinker &amp; patriot, we remember him for his service to the Nation| Met the former Prime Minister of Australia, Mr. Paul Keating. http://t.co/KdlP7DAEmT| It was wonderful meeting Australia's Minister for Trade and Investment, Mr. @AndrewRobbMP. http://t.co/QGGHKyHGvt| RT @htTweets: We took PM Narendra Modi's Android app for a spin. Here's what it was like http://t.co/x9KnliRPxR via @PranavDixit http://t.c…| Released the book, “Red Tape to Red Carpet… and then some"" written by Mrs. Gina Rinehart. http://t.co/rzUWzBldXQ http://t.co/WP1AqAEY3K"
20150624	"| Next 'Mann Ki Baat' programme will be held on 28th. Share thoughts &amp; ideas for the programme on MyGov Open Forum. https://t.co/EdW8pBYMIV| At today's PRAGATI meeting, reviewed vital infrastructure projects in railways, road, power, coal, petroleum, energy sectors.| Also discussed grievances relating to passport delivery &amp; ways to enable quicker processing of passport services. http://t.co/zoTnKUn2pq"
20150625	"| We mark 40 years of one of India's darkest periods- the Emergency, when the then political leadership trampled over our democracy.| Inspired by the call of JP, several men &amp; women across India selflessly immersed themselves in the movement to safeguard our democracy.| We are very proud of the lakhs of people, who resisted the Emergency &amp; whose efforts ensured that our democratic fabric is preserved.| Personally, the Emergency brings back many memories. As youngsters, we learnt a lot during the anti-Emergency movement.| Emergency was a great opportunity to work with a wide spectrum of leaders &amp; organisations fighting for the same goal- return of democracy.| A vibrant liberal democracy is the key to progress. Let us do everything possible to further strengthen our democratic ideals &amp; ethos.| On their Statehood Day, I convey my greetings &amp; best wishes to the people of Croatia, a Nation which is India's deeply valued friend.| Warm greetings to the people of Slovenia on their Nation's Statehood Day. I am very optimistic about the strong ties between our Nations.| Independence Day greetings to the people of Mozambique. We cherish our strong ties with Mozambique &amp; hope to deepen our cooperation further.| I pay my tributes to the former Prime Minister of India, Shri VP Singh on his birth anniversary.| Congratulations to @SriSri ji on being conferred ‘Orden de la Democracia Simon Bolivar en el grado de cruz Caballero' by Colombia.| We are very proud of the excellent work @SriSri ji is doing across the world. His noble efforts have always created a major impact globally.| Three major initiatives towards urban development will be launched today. http://t.co/HSz6KoUVpj| AMRUT, Smart Cities Mission &amp; Housing for All (Urban) mark a watershed moment in our quest to create better &amp; futuristic cities.| These initiatives mark a paradigm shift, providing a people centric approach to create world class urban spaces. http://t.co/26rZz5zvrY"
20150626	"| On his birthday, I extend warm wishes to my Cabinet colleague, Shri Ashok Gajapathi Raju &amp; pray for his long life and good health.| Dear @dpradhanbjp, greetings &amp; best wishes on your birthday. May Almighty bless you with good health &amp; a long life.| I wish the people of Madagascar on the occasion of their Independence Day.| Delighted to receive Dr. @APJAbdulKalam's book 'Transcendence: My Spiritual Encounters with Pramukh Swamiji' from Brahmvihari Swami ji.| The book is a highly personal account of interactions between two very respected personalities. @APJAbdulKalam http://t.co/TIXzHdZqpU| My thoughts &amp; prayers are with the families &amp; loved ones of those who lost their lives in the cowardly attacks in France, Kuwait &amp; Tunisia.| The progress of humanity lies in peace, brotherhood &amp; non-violence, not in hatred, terror &amp; mindless violence against others.| @David_Cameron Delighted to receive your message on #YogaDay. Thank you. The enthusiasm across the UK on Yoga Day was extremely gladdening.| @TonyAbbottMHR PM Abbott, a big thanks for the #YogaDay wishes. Wonderful seeing the wide scale participation in Australia."
20150627	"| On Djibouti's Independence Day, I convey my greetings &amp; best wishes to the people of Djibouti. India truly cherishes our ties with Djibouti.| We remain grateful to Djibouti for the strong support &amp; active cooperation during Yemen evacuation. It indicates the robustness of our ties| Investment in India is increasing, the world is coming to explore the opportunities India has to offer. http://t.co/nHd9lDDJE9 @WSJIndia| ""Growth forecasts up, perceptions of corruption down, and investors better protected…"" Do read. http://t.co/2ihRZlzssO  @ForeignPolicy| I know you haven't forgotten but thought I'd remind you nonetheless. :) #MannKiBaat http://t.co/KOXEdZkglI"
20150628	"| Tributes to Shri PV Narasimha Rao on his birth anniversary. We remember him as a wonderful scholar with very rich political experience.| In Varanasi, will inaugurate a trauma centre, lay foundation stone for various development projects &amp; address a public meeting.| Will lay foundation stone of Indian Agricultural Research Institute in Jharkhand's Hazaribagh District.| Will share #MannKiBaat in a short while from now. Join. http://t.co/9c68fg4PLT| You can also hear the #MannKiBaat programme on http://t.co/NfSTOdg3NI &amp; on your mobile. http://t.co/WZ97ypMmlz| Was eagerly awaiting the Varanasi visit but unfortunately due to the weather I had to cancel. Sincere apologies to the people of Varanasi.| Incidentally, spoke about monsoon, water conservation &amp; tree planting among other issues during today's #MannKiBaat https://t.co/CJu8H016J2| RT @thekiranbedi: A Selfie when there were no Selfies. When visionary parents nurtured their daughters. #Selfiewithdaughter @PMOIndia http:…| RT @pawankaushal: My daughter - My strength - My best advisor - My best well wisher #SelfieWithDaughter # MannKiBaat @narendramodi http://t…| RT @MrsGandhi: Meet Riya Shree - My World! My Pride! 
#SelfieWithDaughter http://t.co/30AZwTB5L9| RT @shivsBHARAT: Beti Padhao- Beti Bachao. My daughter Gargi's first day at school. #SelfieWithDaughter @narendramodi @PMOIndia http://t.co…| RT @iamabnash: #SelfieWithDaughter @narendramodi we love water nature and smile of each other http://t.co/Yk7ji91MDg| RT @ShootinThoughts: #SelfieWithDaughter
My nieces. They're just as good :) http://t.co/JreDpGx4li| RT @ScorpiusMaximus: @narendramodi Also  wrote a small post on what it means to be a Dad http://t.co/q7hkUBKkas  #selfiewithdaughter http:/…| RT @anushrut5: #selfiewithdaughter
My lovely mumma with my sister http://t.co/TY9MwBPolv| RT @impuni: @narendramodi #selfiewithdaughter.
My BETI my happiness quotient http://t.co/FF2HBgmwvV| RT @shivintikoo: @narendramodi #SelfiewithDaughter Girl Power. India Super Power http://t.co/DvEtDBf2bw| RT @Hemnahata: I smile the most when I see you smiling - Tashvi Thank you for making my life full of joy.
 #selfiewithdaughter http://t.co/…| RT @sumit_neogi: #Selfiewithdaughter #MannkiBaat @narendramodi My daughter my pride.. http://t.co/bWIsYf85xH| RT @rvgpl71: #SelfieWithDaughter ....from Thiruvanthapuram, Kerala http://t.co/WzUS68kr4t| RT @shubrajit_dash: #SelfieWithDaughter My daughter, my world @narendramodi http://t.co/b6H1hlcTRQ| RT @richaanirudh: #SelfieWithDaughter #MeriBetiMeriJaanMeriShaan @narendramodi #MannKiBaat http://t.co/SL5HWOUlCt| RT @Dev_Fadnavis: And here's my #SelfieWithDaughter .
My Daughter, My Pride! 
#betibachaobetipadhao http://t.co/csPNDWq1SZ| The Indian Agricultural Research Institute at Barhi in Jharkhand will play a major role in the growth of India's agriculture sector.| We are working towards modernising agriculture &amp; focussing on increased productivity. This will benefit the farmers. http://t.co/PE1fwrYm72"
20150629	"| RT @SanjeevKapoor: Our daughters are our pride! With @Alyonakapoor Rachita &amp; Kriti #Family
#SelfieWithDaughter 
#BetiBachaoBetiPadhao http…| RT @ShazliAhmedKhan: @narendramodi Sir #SelfieWithDaughter on her 1st day to school!!! http://t.co/vG5hHkuDwx| RT @RubikaLiyaquat: #SelfieWithDaughter here it is to the best relationship.. http://t.co/q1BcEAGOkn| RT @rsyashasvi: #SelfieWithDaughter  (clicked today with mom and sis actually) http://t.co/r6vdd439OQ| RT @SachinKalbag: Okay, I missed the biggest trend of the day. So here goes #SelfieWithDaughter http://t.co/g6EHmqGu4W| RT @shekharkapur: Lessons of Life : My immense wealth I give to my daughter http://t.co/HYw8zouO0t #SelfieWithDaughter .  30 second read th…| RT @ChaudhryShankar: Daughter holds our hand for a while but heart forever. Blessed to be gifted with daughters.  #SelfieWithDaughter http:…| RT @dkgdelhi: My Office colleague posted this selfie with his daughter. God bless Our beloved PM @narendramodi #SelfieWithDaughter http://t…| RT @nandinizg: #SelfieWithDaughter With Raya (Noyontara) When she'll be 50, I won't be around. (That's a terrible thought.) http://t.co/Gk5…| RT @nandinizg: #SelfieWithDaughter With @zuleikhagupta When she'll be 50, I'll be 72. (That's an awesome thought.) http://t.co/PN7lWlu5Di| RT @mepratap: #SelfieWithDaughter @narendramodi ji, here is my daughter Vipanchi Simha http://t.co/Hf4MLSKQBj| RT @upadhyayumesh: Celebrating #SelfieWithDaughter
Glad PM @NarendraModi promoted it through #MannKiBaat http://t.co/FADfYug43r| RT @KartikeyaTanna: #SelfieWithDaughter http://t.co/TWfCM2KmcU| RT @Vu_Lo: #SelfieWithDaughter Great initiative! Love and educate your daughters just like my papa has _ http://t.co/5PGTnJBWhp| RT @chitraSD: #SelfieWithDaughter @narendramodi http://t.co/ZYLH54cQbs| RT @Gaurav23155033: #SelfieWithDaughter http://t.co/Sen5utdknz| RT @AdityaSatsangi: #SelfieWithDaughter @narendramodi http://t.co/llJWjps6V9| RT @Swedish_Racing: Supporting from Sweden. #SelfieWithDaughter My everything in life. http://t.co/u9y1knYV4M| RT @NishaBiswal: #SelfieWithDaughter w my dad who along w my mom believed in their daughter and invested in her. http://t.co/IeMU46oit4| RT @NishaBiswal: Love the #SelfieWithDaughter idea @narendramodi. Here is mine w my girls. http://t.co/CleKmT6M84| @NishaBiswal  Lovely photos. Thanks for sharing, both as a mother and a daughter.| RT @nnenna: Dear @narendramodi 
Thanks for the #SelfieWithDaughter idea. Here's from Africa.. with lots of love http://t.co/pMUF6nQThP| @nnenna  Thank you for sharing the photo.| RT @gofiliberto: PM of India @narendramodi: TY for #SelfieWithDaughter. When you raise a daughter, you raise a nation! http://t.co/E3RrjfLp…| @gofiliberto  Great picture. I fully agree.| RT @JimByersTravel: Love India PM's concept of #SelfieWithDaughter. Very proud of my daughter, Kathleen. Photo @FourSeasons Thailand! http:…| RT @FoodSwineIowa: Hello new friends from #India! Heading to give a #baking class on biscuit making with my girl. #selfiewithdaughter http:…| RT @mr_kennethcole: The selfie fantasy brought to life.  #DaughterSandwich #SelfieWithDaughter http://t.co/nmO0xtsRnq| RT @raajpal_yadav: #SelfieWithDaughter - Me with my 2 daughters, Honey and Moni . http://t.co/kTVYWA36zy| RT @RameshTaurani: I'm not a big fan of selfies but here's one of my favorite pics with my 3 amazing girls! #SelfieWithDaughter http://t.co…| RT @Sidhu7331K: Meri annya #SelfieWithDaughter http://t.co/uqqISO2fgI| RT @sureshnakhua: Daughters r not tension
Daughters r more thn ten sons
W Princess Mahek &amp; Het &amp;their mom Jayshri
#SelfieWithDaughter http:…| RT @hardikgdave: Had great time with daughter. Me &amp; my princess. Selfi time @anandibenpatel #betibachaobetipadhao #SelfieWithDaughter http:…| RT @harshalu: @narendramodi #SelfieWithDaughter Nirjari means Goddess.v named her so as v beleive daughters are a form of Goddess http://t.…| Amazed by the fantastic response to #SelfieWithDaughter. Its remarkable how people across the world have chipped in. http://t.co/eROV6qlM83| Very proud of @P9Ashwini &amp; @Guttajwala for the wonderful victory at the Canada Open. Congratulations to the brilliant sportspersons."
20150630	"| News of the plane crash in Indonesia is deeply unfortunate. My thoughts are with the families of the deceased &amp; prayers with those injured.| RT @KalrajMishra: With My Grand Daughters 
#SelfieWithDaughter  https://t.co/Ofoonkweyp| RT @VijayGoelBJP: Here's mine #SelfieWithDaughter My daughter, my pillar of strength! #betibachaobetipadhao  @narendramodi http://t.co/vBua…| RT @asraghunath: Had to wait for 52 years for her arrival into our lives. @PragyanM is our daughter in Law! #SelfieWithDaughter http://t.co…| RT @TheOrlandoJones: Supporting from the USA. Gender Equality Matters #SelfieWithDaughter http://t.co/SWSpwEeXsq| RT @bbsomani: #SelfieWithDaughter @narendramodi 
My daughter Vidya Baheti stay in L.A. USA http://t.co/aLVfiJzM1s| RT @KTnepal: @narendramodi Selfi with daughters excellent idea.My daughters Pragati, Prasiddhi n Pratistha are my eternal strength http://t…| Met @FollowCII delegation. We discussed issues relating to the economy. They appreciated various Govt initiatives. http://t.co/P2ZSANnoHE| The @ficci_india delegation lauded @makeinindia &amp; told me about their new initiative to improve sanitation. http://t.co/uoBT2hBCen| Discussed initiatives in aerospace, defence &amp; civil aviation during my meet with CEO @AirbusDS, Mr. Bernhard Gerwert. http://t.co/LZN6l1P9Ir"
20150701	"| ____ ______ __ ________ ____ ___ ____ ____ __ __ _______ __  ____ ___________ _ ____ _____ _________ __ ________ __ _________| My good wishes to Governor of Haryana Shri Kaptan Singh Solanki on his birthday. I pray that he is blessed with good health &amp; a long life.| Warm birthday wishes to the Chief Minister of UP Shri @yadavakhilesh. May you always remain in good health &amp; are blessed with a long life.| __________ ___ ____ ____ ____ @KalrajMishra __ __ ________ __ _______ ____________ ____ _____ _________ __ ________ __ _________| Dear @MVenkaiahNaidu Garu, wishing you a very Happy Birthday. May Almighty bless you with a long life filled with good health.| Today we are taking a landmark step in our quest to create a Digital India. http://t.co/15XYj1GFwx| Deeply pained at the loss of lives due to the landslides in Darjeeling district. Condolences to the families of the deceased.| A compensation of Rs. 2 lakh from the PMNRF would be provided to the families of the deceased.| MoS Home Shri Kiren Rijiju is going to the locations to take stock of the situation. A team from NDRF is extending all possible support.| Today we commenced a special journey…a journey towards a #DigitalIndia where technology will play a pivotal role in India's progress.| Emphasised on giving digital strength to our demographic dividend, focussing on mobile governance &amp; creating a vibrant start-up ecosystem.| From making electronic goods that are globally competitive to enhancing cyber security, India must show the way. http://t.co/tCrm7zVuTP| Am rather late but here's wishing all doctors &amp; CAs on Doctor's Day &amp; CA Day respectively. Both have key role to play in societal wellbeing.| Canada Day greetings to the wonderful people of Canada. http://t.co/uuhurlbR2E"
20150702	"| RT @SDhawan25: Daddy's Girls #SelfieWithDaughter http://t.co/aZ3daj7U8a| RT @rahularora4u: #SelfieWithDaughter http://t.co/MR16W6ixYg| RT @vikram0902: #SelfieWithDaughter #CanadaDay2015 #ilovemydaughter http://t.co/lQD43KKHXo| RT @Suraj9482: Me &amp; my angel Shristi #SelfieWithDaughter @narendramodi Sir @NBTDilli http://t.co/6iRk5HR6h5| RT @smritiirani: @WhiteHouse Hon.@narendramodi 's #SelfieWithDaughter finds support. http://t.co/3Qg4HnZUES| RT @sachin_rt: Selfie with my daughter Sara #BetiBachao http://t.co/0byTeBZFnp| Met representatives of Global Poverty Project. http://t.co/Y1lyxYTCEj http://t.co/ZxJ9ilbP2p| PM Krishi Sinchai Yojana will fulfil the dream of '__ ___ __ ____' by enhancing irrigation facilities for farmers. http://t.co/Fhwp7XzzBj| Scheme of Promotion of National Agriculture Market through Agri-Tech Infrastructure Fund has been approved by CCEA. http://t.co/PK6SnXNn68| 585 regulated markets across India will be integrated with common e-platform. This will be hugely beneficial for farmers.| Farmers &amp; traders can get opportunities to purchase &amp; sell agricultural commodities at optimal prices in a transparent manner.| National Skill Development Mission gives a strong framework to implement skill development activities across India. http://t.co/XfWWLU8KSB| Know more about the National Policy for Skill Development &amp; Entrepreneurship approved by the Cabinet. http://t.co/GQdtdzWDzi| Congrats to these youngsters. Kudos to their innovative zeal &amp; proud of their efforts to create a Clean India. http://t.co/xZlm3sGJl6| Road infrastructure is key to the development of a nation. Reviewed the progress of the National Highway Programmes http://t.co/ukyNhLe4Pp| While reviewing highway construction in the Northeast, emphasised on ensuring good connectivity between road projects &amp; airports.| Also urged officials to focus on connectivity with ports &amp; ensure adequate tree plantation along all the highway projects."
20150704	"| I bow to Swami Vivekananda on his Nirvan Diwas. He is an enduring source of inspiration whose thoughts influenced several people globally.| Warm birthday wishes &amp; a prayer for his good health and long life to the Governor of Tamil Nadu, Shri K Rosaiah.| I wish the CM of Goa &amp; my party colleague Shri Laxmikant Parsekar on his birthday. May he live long &amp; always be in best of health.| To all the people of USA, a very Happy 4th of July. http://t.co/CkrVW9bq92| You, me &amp; a #DigitalDialogue! Would love to hear your thoughts, insights &amp; views on #DigitalIndia initiative. Come, let us talk digital.| The overwhelming response along with a lot of insights &amp; inputs on #DigitalIndia initiative has inspired me to have a #DigitalDialogue| Inviting tech enthusiasts to share their views using #DigitalDialogue. Will try to answer some questions tomorrow. http://t.co/fCynJYHENs| Congratulations to all those who successfully cleared the Civil Services Exam &amp; my best wishes as you begin the journey to serve the nation.| To those who didn't clear the exam- such moments are a part of life. This must not deter you from your future endeavours. My best wishes.| On Monday I will commence my visit to 5 Central Asian Nations &amp; Russia, where I will attend the BRICS &amp; SCO Summit.| My visit to Central Asian Nations will enhance ties with this region. The scope of cooperation is very wide. http://t.co/LlZ8njAUxT"
20150705	"| Birthday greetings to my colleague Shri Ram Vilas Paswan. May he live long &amp; always remain in good health.| Gladdened by response to #DigitalDialogue. Technology for me is a means to discover, learn, evolve &amp; implement. Read. http://t.co/57NUe0ccxw| Answered questions on #DigitalIndia, start-ups, mobile governance, empowering citizens through technology &amp; other issues. #DigitalDialogue| India is yearning for a digital revolution, Effort towards #DigitalIndia is all encompassing &amp; aimed at transforming lives. #DigitalDialogue"
