date	TitleName
20121031	"Modi's tweets leading into 2012 Gujarat elections, while he is in his 3rd term as Chief Minister of Gujurat."
20121101	"Modi's tweets leading into 2012 Gujarat elections, while he is in his 3rd term as Chief Minister of Gujurat."
20121102	"Modi's tweets leading into 2012 Gujarat elections, while he is in his 3rd term as Chief Minister of Gujurat."
20121103	"Modi's tweets leading into 2012 Gujarat elections, while he is in his 3rd term as Chief Minister of Gujurat."
20121110	"Modi's tweets leading into 2012 Gujarat elections, while he is in his 3rd term as Chief Minister of Gujurat."
20121111	"Modi's tweets leading into 2012 Gujarat elections, while he is in his 3rd term as Chief Minister of Gujurat."
20121112	"Modi's tweets leading into 2012 Gujarat elections, while he is in his 3rd term as Chief Minister of Gujurat."
20121113	"Modi's tweets leading into 2012 Gujarat elections, while he is in his 3rd term as Chief Minister of Gujurat."
20121114	"Modi's tweets leading into 2012 Gujarat elections, while he is in his 3rd term as Chief Minister of Gujurat."
20121115	"Modi's tweets leading into 2012 Gujarat elections, while he is in his 3rd term as Chief Minister of Gujurat."
20121116	"Modi's tweets leading into 2012 Gujarat elections, while he is in his 3rd term as Chief Minister of Gujurat."
20121117	"Modi's tweets leading into 2012 Gujarat elections, while he is in his 3rd term as Chief Minister of Gujurat."
20121118	"Modi's tweets leading into 2012 Gujarat elections, while he is in his 3rd term as Chief Minister of Gujurat."
20121119	"Modi's tweets leading into 2012 Gujarat elections, while he is in his 3rd term as Chief Minister of Gujurat."
20121124	"Modi's tweets leading into 2012 Gujarat elections, while he is in his 3rd term as Chief Minister of Gujurat."
20121125	"Modi's tweets leading into 2012 Gujarat elections, while he is in his 3rd term as Chief Minister of Gujurat."
20121126	"Modi's tweets leading into 2012 Gujarat elections, while he is in his 3rd term as Chief Minister of Gujurat."
20121127	"Modi's tweets leading into 2012 Gujarat elections, while he is in his 3rd term as Chief Minister of Gujurat."
20121128	"Modi's tweets leading into 2012 Gujarat elections, while he is in his 3rd term as Chief Minister of Gujurat."
20121129	"Modi's tweets leading into 2012 Gujarat elections, while he is in his 3rd term as Chief Minister of Gujurat."
20121130	"Modi's tweets leading into 2012 Gujarat elections, while he is in his 3rd term as Chief Minister of Gujurat."
20121201	"Modi's tweets leading into 2012 Gujarat elections, while he is in his 3rd term as Chief Minister of Gujurat."
20121202	"Modi's tweets leading into 2012 Gujarat elections, while he is in his 3rd term as Chief Minister of Gujurat."
20121205	"Modi's tweets leading into 2012 Gujarat elections, while he is in his 3rd term as Chief Minister of Gujurat."
20121206	"Modi's tweets leading into 2012 Gujarat elections, while he is in his 3rd term as Chief Minister of Gujurat."
20121207	"Modi's tweets leading into 2012 Gujarat elections, while he is in his 3rd term as Chief Minister of Gujurat."
20121208	"Modi's tweets leading into 2012 Gujarat elections, while he is in his 3rd term as Chief Minister of Gujurat."
20121209	"Modi's tweets leading into 2012 Gujarat elections, while he is in his 3rd term as Chief Minister of Gujurat."
20121210	"Modi's tweets leading into 2012 Gujarat elections, while he is in his 3rd term as Chief Minister of Gujurat."
20121211	"Modi's tweets leading into 2012 Gujarat elections, while he is in his 3rd term as Chief Minister of Gujurat."
20121212	"Modi's tweets leading into 2012 Gujarat elections, while he is in his 3rd term as Chief Minister of Gujurat."
20121213	"Modi's tweets leading into 2012 Gujarat elections, while he is in his 3rd term as Chief Minister of Gujurat."
20121214	"Modi's tweets leading into 2012 Gujarat elections, while he is in his 3rd term as Chief Minister of Gujurat."
20121215	"Modi's tweets leading into 2012 Gujarat elections, while he is in his 3rd term as Chief Minister of Gujurat."
20121216	"Modi's tweets leading into 2012 Gujarat elections, while he is in his 3rd term as Chief Minister of Gujurat."
20121217	"Modi's tweets leading into 2012 Gujarat elections, while he is in his 3rd term as Chief Minister of Gujurat."
20121218	"Modi's tweets leading into 2012 Gujarat elections, while he is in his 3rd term as Chief Minister of Gujurat."
20121219	"Modi's tweets leading into 2012 Gujarat elections, while he is in his 3rd term as Chief Minister of Gujurat."
20121220	"Modi's tweets leading into 2012 Gujarat elections, while he is in his 3rd term as Chief Minister of Gujurat."
20121221	"Modi's tweets leading into 2012 Gujarat elections, while he is in his 3rd term as Chief Minister of Gujurat."
20121223	"Modi's tweets leading into 2012 Gujarat elections, while he is in his 3rd term as Chief Minister of Gujurat."
20121224	"Modi's tweets leading into 2012 Gujarat elections, while he is in his 3rd term as Chief Minister of Gujurat."
20121225	"Modi's tweets leading into 2012 Gujarat elections, while he is in his 3rd term as Chief Minister of Gujurat."
20121226	"Modi's tweets leading into 2012 Gujarat elections, while he is in his 3rd term as Chief Minister of Gujurat."
20121227	"Modi's tweets leading into 2012 Gujarat elections, while he is in his 3rd term as Chief Minister of Gujurat."
20121229	"Modi's tweets leading into 2012 Gujarat elections, while he is in his 3rd term as Chief Minister of Gujurat."
20121230	"Modi's tweets leading into 2012 Gujarat elections, while he is in his 3rd term as Chief Minister of Gujurat."
20121231	"Modi's tweets leading into 2012 Gujarat elections, while he is in his 3rd term as Chief Minister of Gujurat."
20130101	"Modi's tweets leading into 2012 Gujarat elections, while he is in his 3rd term as Chief Minister of Gujurat."
20130102	"Modi's tweets leading into 2012 Gujarat elections, while he is in his 3rd term as Chief Minister of Gujurat."
20130103	"Modi's tweets leading into 2012 Gujarat elections, while he is in his 3rd term as Chief Minister of Gujurat."
20130105	"Modi's tweets leading into 2012 Gujarat elections, while he is in his 3rd term as Chief Minister of Gujurat."
20130106	"Modi's tweets leading into 2012 Gujarat elections, while he is in his 3rd term as Chief Minister of Gujurat."
20130107	"Modi's tweets leading into 2012 Gujarat elections, while he is in his 3rd term as Chief Minister of Gujurat."
20130108	"Modi's tweets leading into 2012 Gujarat elections, while he is in his 3rd term as Chief Minister of Gujurat."
20130109	"Modi's tweets leading into 2012 Gujarat elections, while he is in his 3rd term as Chief Minister of Gujurat."
20130110	"Modi's tweets leading into 2012 Gujarat elections, while he is in his 3rd term as Chief Minister of Gujurat."
20130111	"Modi's tweets leading into 2012 Gujarat elections, while he is in his 3rd term as Chief Minister of Gujurat."
20130121	"Modi's tweets leading into 2012 Gujarat elections, while he is in his 3rd term as Chief Minister of Gujurat."
20130122	"Modi's tweets leading into 2012 Gujarat elections, while he is in his 3rd term as Chief Minister of Gujurat."
20130123	"Modi's tweets leading into 2012 Gujarat elections, while he is in his 3rd term as Chief Minister of Gujurat."
20130124	"Modi's tweets leading into 2012 Gujarat elections, while he is in his 3rd term as Chief Minister of Gujurat."
20130125	"Modi's tweets leading into 2012 Gujarat elections, while he is in his 3rd term as Chief Minister of Gujurat."
20130126	"Modi's tweets leading into 2012 Gujarat elections, while he is in his 3rd term as Chief Minister of Gujurat."
20130127	"Modi's tweets leading into 2012 Gujarat elections, while he is in his 3rd term as Chief Minister of Gujurat."
20130129	"Modi's tweets leading into 2012 Gujarat elections, while he is in his 3rd term as Chief Minister of Gujurat."
20130130	"Modi's tweets leading into 2012 Gujarat elections, while he is in his 3rd term as Chief Minister of Gujurat."
20130131	Modi's tweets following election as chief minister of Gujurat (4th term).
20130201	Modi's tweets following election as chief minister of Gujurat (4th term).
20130202	Modi's tweets following election as chief minister of Gujurat (4th term).
20130203	Modi's tweets following election as chief minister of Gujurat (4th term).
20130204	Modi's tweets following election as chief minister of Gujurat (4th term).
20130205	Modi's tweets following election as chief minister of Gujurat (4th term).
20130206	Modi's tweets following election as chief minister of Gujurat (4th term).
20130207	Modi's tweets following election as chief minister of Gujurat (4th term).
20130208	Modi's tweets following election as chief minister of Gujurat (4th term).
